CHR	BP	aa
2	75029556	2:75029556
2	75063171	2:75063171
2	75147460	2:75147460
2	75147493	2:75147493
2	75253653	2:75253653
2	75253665	2:75253665
2	75285053	2:75285053
2	75301050	2:75301050
2	75346322	2:75346322
2	75369991	2:75369991
2	75370023	2:75370023
2	75378757	2:75378757
2	75389550	2:75389550
2	75389558	2:75389558
2	75399920	2:75399920
2	75399946	2:75399946
2	75487897	2:75487897
2	75487932	2:75487932
2	75553233	2:75553233
2	75553244	2:75553244
2	75553261	2:75553261
2	75567369	2:75567369
2	75679355	2:75679355
2	75737458	2:75737458
2	75872091	2:75872091
2	75951504	2:75951504
2	76080743	2:76080743
2	76080752	2:76080752
2	76152967	2:76152967
2	76218998	2:76218998
2	76436588	2:76436588
2	76636692	2:76636692
2	76636749	2:76636749
2	76636772	2:76636772
2	76724034	2:76724034
2	76724055	2:76724055
2	76724313	2:76724313
2	76724328	2:76724328
2	76784353	2:76784353
2	76801803	2:76801803
2	76801821	2:76801821
2	76987926	2:76987926
2	77014841	2:77014841
2	77123930	2:77123930
2	77123953	2:77123953
2	77166044	2:77166044
2	77371371	2:77371371
2	77376953	2:77376953
2	77376974	2:77376974
2	77622782	2:77622782
2	77622798	2:77622798
2	77622808	2:77622808
2	77622829	2:77622829
2	77636742	2:77636742
2	77636772	2:77636772
2	77661140	2:77661140
2	77685991	2:77685991
2	77763599	2:77763599
2	77763631	2:77763631
2	77902898	2:77902898
2	77902936	2:77902936
2	77966432	2:77966432
2	78091361	2:78091361
2	78091368	2:78091368
2	78109445	2:78109445
2	78176660	2:78176660
2	78176704	2:78176704
2	78258810	2:78258810
2	78355990	2:78355990
2	78443622	2:78443622
2	78443631	2:78443631
2	78497366	2:78497366
2	78512799	2:78512799
2	78526162	2:78526162
2	78629349	2:78629349
2	78629398	2:78629398
2	78629402	2:78629402
2	78738286	2:78738286
2	78783873	2:78783873
2	79110140	2:79110140
2	79199363	2:79199363
2	79260343	2:79260343
2	79260397	2:79260397
2	79286541	2:79286541
2	79286560	2:79286560
2	79358925	2:79358925
2	79372599	2:79372599
2	79372612	2:79372612
2	79635597	2:79635597
2	79793906	2:79793906
2	79845355	2:79845355
2	79845405	2:79845405
2	79918969	2:79918969
2	80015279	2:80015279
2	80053034	2:80053034
2	80083453	2:80083453
2	80083503	2:80083503
2	80157414	2:80157414
2	80189418	2:80189418
2	80189428	2:80189428
2	80189499	2:80189499
2	80284742	2:80284742
2	80284783	2:80284783
2	80331409	2:80331409
2	80354629	2:80354629
2	80433391	2:80433391
2	80527276	2:80527276
2	80527709	2:80527709
2	80590876	2:80590876
2	80590933	2:80590933
2	80611053	2:80611053
2	80744757	2:80744757
2	80753677	2:80753677
2	80753735	2:80753735
2	80828987	2:80828987
2	80851384	2:80851384
2	80917899	2:80917899
2	80967146	2:80967146
2	81017336	2:81017336
2	81017369	2:81017369
2	81080412	2:81080412
2	81107423	2:81107423
2	81131786	2:81131786
2	81179137	2:81179137
2	81292680	2:81292680
2	81292681	2:81292681
2	81297328	2:81297328
2	81297363	2:81297363
2	81513246	2:81513246
2	81513267	2:81513267
2	81844499	2:81844499
2	81890832	2:81890832
2	81899285	2:81899285
2	81903050	2:81903050
2	81913745	2:81913745
2	81926678	2:81926678
2	81926679	2:81926679
2	81927374	2:81927374
2	81932773	2:81932773
2	81932777	2:81932777
2	81932806	2:81932806
2	81963661	2:81963661
2	81963695	2:81963695
2	81995853	2:81995853
2	82003552	2:82003552
2	82022286	2:82022286
2	82022316	2:82022316
2	82158736	2:82158736
2	82217258	2:82217258
2	82335727	2:82335727
2	82395239	2:82395239
2	82519855	2:82519855
2	82527271	2:82527271
2	82527284	2:82527284
2	82540602	2:82540602
2	82550169	2:82550169
2	82562978	2:82562978
2	82562993	2:82562993
2	82592931	2:82592931
2	82599341	2:82599341
2	82659725	2:82659725
2	82738578	2:82738578
2	82814527	2:82814527
2	82839342	2:82839342
2	82871815	2:82871815
2	82971529	2:82971529
2	82971537	2:82971537
2	82971565	2:82971565
2	83082464	2:83082464
2	83095715	2:83095715
2	83095761	2:83095761
2	83119957	2:83119957
2	83166037	2:83166037
2	83166055	2:83166055
2	83166074	2:83166074
2	83206171	2:83206171
2	83206183	2:83206183
2	83294413	2:83294413
2	83405942	2:83405942
2	83426412	2:83426412
2	83469587	2:83469587
2	83481968	2:83481968
2	83572060	2:83572060
2	83572137	2:83572137
2	83667688	2:83667688
2	83716823	2:83716823
2	83798794	2:83798794
2	83845675	2:83845675
2	84002823	2:84002823
2	84079014	2:84079014
2	84122128	2:84122128
2	84122350	2:84122350
2	84122358	2:84122358
2	84161204	2:84161204
2	84161236	2:84161236
2	84200314	2:84200314
2	84202776	2:84202776
2	84202793	2:84202793
2	84222795	2:84222795
2	84294983	2:84294983
2	84311612	2:84311612
2	84363266	2:84363266
2	84371752	2:84371752
2	84453351	2:84453351
2	84590546	2:84590546
2	84610674	2:84610674
2	84701793	2:84701793
2	84780635	2:84780635
2	84780650	2:84780650
2	84791057	2:84791057
2	84800986	2:84800986
2	84801002	2:84801002
2	84876044	2:84876044
2	84876438	2:84876438
2	84876463	2:84876463
2	84876484	2:84876484
2	84876498	2:84876498
2	84876519	2:84876519
2	84903205	2:84903205
2	84931632	2:84931632
2	84940113	2:84940113
2	84940138	2:84940138
2	84952142	2:84952142
2	84995838	2:84995838
2	84995863	2:84995863
2	85029295	2:85029295
3	200828	3:200828
3	205114	3:205114
3	234532	3:234532
3	273487	3:273487
3	420587	3:420587
3	437437	3:437437
3	505975	3:505975
3	516871	3:516871
3	760600	3:760600
3	951610	3:951610
3	999471	3:999471
3	1028544	3:1028544
3	1083196	3:1083196
3	1115207	3:1115207
3	1157506	3:1157506
3	1157573	3:1157573
3	1158008	3:1158008
3	1175616	3:1175616
3	1175631	3:1175631
3	1287295	3:1287295
3	1287324	3:1287324
3	1305788	3:1305788
3	1451960	3:1451960
3	1566119	3:1566119
3	1566139	3:1566139
3	1566165	3:1566165
3	1645477	3:1645477
3	1697273	3:1697273
3	1720754	3:1720754
3	1729246	3:1729246
3	1877598	3:1877598
3	2168848	3:2168848
3	2188679	3:2188679
3	2195994	3:2195994
3	2287163	3:2287163
3	2380347	3:2380347
3	2626717	3:2626717
3	2647115	3:2647115
3	2775619	3:2775619
3	2842247	3:2842247
3	2842249	3:2842249
3	2863106	3:2863106
3	2888793	3:2888793
3	3047863	3:3047863
3	3063677	3:3063677
3	3113052	3:3113052
3	3113069	3:3113069
3	3176905	3:3176905
3	3208865	3:3208865
3	3258122	3:3258122
3	3430494	3:3430494
3	3564927	3:3564927
3	3635003	3:3635003
3	3700538	3:3700538
3	3720561	3:3720561
3	3840314	3:3840314
3	3891823	3:3891823
3	3891827	3:3891827
3	3891850	3:3891850
3	3928381	3:3928381
3	3928395	3:3928395
3	4019035	3:4019035
3	4019039	3:4019039
3	4137959	3:4137959
3	4137984	3:4137984
3	4321766	3:4321766
3	4375016	3:4375016
3	4375035	3:4375035
3	4375041	3:4375041
3	4380069	3:4380069
3	4386722	3:4386722
3	4386824	3:4386824
3	4403856	3:4403856
3	4403864	3:4403864
3	4405978	3:4405978
3	4405983	3:4405983
3	4484620	3:4484620
3	4579510	3:4579510
3	4586302	3:4586302
3	4586402	3:4586402
3	4765717	3:4765717
3	4765854	3:4765854
3	4765869	3:4765869
3	4914999	3:4914999
3	4921768	3:4921768
3	4921796	3:4921796
3	4948177	3:4948177
3	5155446	3:5155446
3	5276730	3:5276730
3	5377291	3:5377291
3	5380287	3:5380287
3	5380326	3:5380326
3	5477890	3:5477890
3	5477914	3:5477914
3	5477968	3:5477968
3	5477970	3:5477970
3	5483145	3:5483145
3	5486906	3:5486906
3	5491374	3:5491374
3	5491411	3:5491411
3	5504504	3:5504504
3	5654011	3:5654011
3	5712725	3:5712725
3	5712744	3:5712744
3	5904203	3:5904203
3	5904221	3:5904221
3	6042485	3:6042485
3	6101200	3:6101200
3	6165872	3:6165872
3	6203708	3:6203708
3	6227435	3:6227435
3	6227449	3:6227449
3	6381454	3:6381454
3	6381467	3:6381467
3	6406894	3:6406894
3	6417208	3:6417208
3	6417210	3:6417210
3	6417212	3:6417212
3	6423315	3:6423315
3	6583842	3:6583842
3	6663814	3:6663814
3	6799326	3:6799326
3	6799341	3:6799341
3	6799352	3:6799352
3	6799373	3:6799373
3	6858262	3:6858262
3	6935562	3:6935562
3	7100847	3:7100847
3	7100848	3:7100848
3	7105579	3:7105579
3	7192343	3:7192343
3	7206762	3:7206762
3	7206783	3:7206783
3	7206801	3:7206801
3	7250288	3:7250288
3	7250333	3:7250333
3	7250334	3:7250334
3	7332867	3:7332867
3	7386215	3:7386215
3	7622419	3:7622419
3	7622440	3:7622440
3	7763646	3:7763646
3	7763657	3:7763657
3	7790516	3:7790516
3	7800138	3:7800138
3	7844167	3:7844167
3	7941042	3:7941042
3	7974295	3:7974295
3	8082634	3:8082634
3	8082650	3:8082650
3	8082674	3:8082674
3	8183525	3:8183525
3	8376523	3:8376523
3	8467599	3:8467599
3	8467610	3:8467610
3	8502618	3:8502618
3	8529957	3:8529957
3	8529983	3:8529983
3	8610579	3:8610579
3	8643730	3:8643730
3	8685753	3:8685753
3	8685787	3:8685787
3	8770574	3:8770574
3	8823873	3:8823873
3	8851751	3:8851751
3	8970982	3:8970982
3	8993636	3:8993636
3	9002058	3:9002058
3	9002087	3:9002087
3	9002104	3:9002104
3	9042344	3:9042344
3	9158596	3:9158596
3	9158608	3:9158608
3	9158693	3:9158693
3	9478936	3:9478936
3	9611024	3:9611024
3	9670981	3:9670981
3	9715162	3:9715162
3	9715176	3:9715176
3	9837043	3:9837043
3	9914467	3:9914467
3	9914515	3:9914515
3	9968370	3:9968370
3	10045249	3:10045249
3	10045278	3:10045278
3	10045279	3:10045279
3	10120317	3:10120317
3	10120343	3:10120343
3	10151675	3:10151675
3	10264020	3:10264020
3	10419921	3:10419921
3	10496957	3:10496957
3	10542439	3:10542439
3	10599931	3:10599931
3	10618426	3:10618426
3	10776216	3:10776216
3	10776227	3:10776227
3	10813376	3:10813376
3	11090138	3:11090138
3	11090171	3:11090171
3	11230671	3:11230671
3	11310955	3:11310955
3	11342208	3:11342208
3	11342312	3:11342312
3	11344184	3:11344184
3	11358457	3:11358457
3	11367302	3:11367302
3	11367305	3:11367305
3	11390946	3:11390946
3	11391107	3:11391107
3	11391140	3:11391140
3	11486182	3:11486182
3	11486190	3:11486190
3	11825035	3:11825035
3	11826702	3:11826702
3	11826711	3:11826711
3	11826719	3:11826719
3	11864603	3:11864603
3	11884402	3:11884402
3	11884499	3:11884499
3	11969196	3:11969196
3	11983580	3:11983580
3	12026549	3:12026549
3	12026571	3:12026571
3	12026580	3:12026580
3	12040606	3:12040606
3	12040618	3:12040618
3	12122027	3:12122027
3	12175851	3:12175851
3	12175870	3:12175870
3	12187785	3:12187785
3	12195983	3:12195983
3	12196049	3:12196049
3	12196097	3:12196097
3	12234366	3:12234366
3	12234369	3:12234369
3	12234400	3:12234400
3	12293520	3:12293520
3	12323821	3:12323821
3	12323840	3:12323840
3	12354937	3:12354937
3	12370185	3:12370185
3	12464948	3:12464948
3	12704951	3:12704951
3	12786563	3:12786563
3	13022929	3:13022929
3	13022944	3:13022944
3	13095008	3:13095008
3	13096305	3:13096305
3	13188126	3:13188126
3	13188129	3:13188129
3	13246001	3:13246001
3	13384128	3:13384128
3	13424539	3:13424539
3	13435004	3:13435004
3	13435023	3:13435023
3	13459798	3:13459798
3	13459819	3:13459819
3	13605242	3:13605242
3	13605286	3:13605286
3	13744740	3:13744740
3	13771382	3:13771382
3	13771386	3:13771386
3	13930248	3:13930248
3	14336981	3:14336981
3	14403935	3:14403935
3	14481703	3:14481703
3	14481740	3:14481740
3	14510956	3:14510956
3	14699987	3:14699987
3	14700025	3:14700025
3	14728794	3:14728794
3	14794388	3:14794388
3	14814986	3:14814986
3	14815031	3:14815031
3	14851973	3:14851973
3	14851992	3:14851992
3	14851997	3:14851997
3	14897485	3:14897485
3	14897486	3:14897486
3	14990223	3:14990223
3	14990227	3:14990227
3	14990245	3:14990245
3	15063969	3:15063969
3	15063986	3:15063986
3	15106302	3:15106302
3	15106322	3:15106322
3	15106327	3:15106327
3	15125014	3:15125014
3	15125023	3:15125023
3	15125034	3:15125034
3	15173662	3:15173662
3	15180441	3:15180441
3	15200282	3:15200282
3	15212096	3:15212096
3	15225374	3:15225374
3	15225388	3:15225388
3	15455392	3:15455392
3	15509751	3:15509751
3	15583485	3:15583485
3	15670026	3:15670026
3	15670027	3:15670027
3	15670046	3:15670046
3	15749515	3:15749515
3	15763824	3:15763824
3	15846865	3:15846865
3	16102121	3:16102121
3	16102123	3:16102123
3	16102141	3:16102141
3	16102507	3:16102507
3	16265775	3:16265775
3	16265812	3:16265812
3	16290902	3:16290902
3	16344368	3:16344368
3	16344400	3:16344400
3	16371204	3:16371204
3	16419545	3:16419545
3	16495279	3:16495279
3	16576383	3:16576383
3	16805818	3:16805818
3	17229836	3:17229836
3	17305995	3:17305995
3	17365635	3:17365635
3	17415345	3:17415345
3	17507903	3:17507903
3	17938085	3:17938085
3	17974111	3:17974111
3	17974117	3:17974117
3	18302013	3:18302013
3	18333535	3:18333535
3	18439538	3:18439538
3	18439569	3:18439569
3	18444430	3:18444430
3	18444438	3:18444438
3	18444440	3:18444440
3	18499643	3:18499643
3	18499662	3:18499662
3	18499689	3:18499689
3	18516324	3:18516324
3	18516348	3:18516348
3	18516359	3:18516359
3	18527748	3:18527748
3	18537838	3:18537838
3	18560462	3:18560462
3	18560498	3:18560498
3	18640524	3:18640524
3	18640555	3:18640555
3	18878584	3:18878584
3	18878605	3:18878605
3	18918095	3:18918095
3	18918109	3:18918109
3	18918119	3:18918119
3	19009578	3:19009578
3	19009606	3:19009606
3	19112104	3:19112104
3	19112105	3:19112105
3	19112112	3:19112112
3	19112131	3:19112131
3	19116182	3:19116182
3	19181394	3:19181394
3	19181413	3:19181413
3	19181437	3:19181437
3	19188364	3:19188364
3	19305783	3:19305783
3	19472132	3:19472132
3	19507684	3:19507684
3	19515856	3:19515856
3	19558712	3:19558712
3	19603190	3:19603190
3	19632608	3:19632608
3	19632628	3:19632628
3	19635508	3:19635508
3	19725200	3:19725200
3	19868062	3:19868062
3	19868064	3:19868064
3	19868091	3:19868091
3	19909179	3:19909179
3	19909186	3:19909186
3	19909204	3:19909204
3	19973825	3:19973825
3	19974187	3:19974187
3	19995549	3:19995549
3	20007986	3:20007986
3	20565341	3:20565341
3	20631003	3:20631003
3	20961920	3:20961920
3	20961937	3:20961937
3	21047619	3:21047619
3	21096249	3:21096249
3	21340577	3:21340577
3	21341255	3:21341255
3	21341529	3:21341529
3	21676411	3:21676411
3	21716878	3:21716878
3	21716881	3:21716881
3	21716894	3:21716894
3	21726010	3:21726010
3	21726023	3:21726023
3	21726030	3:21726030
3	21726038	3:21726038
3	21954673	3:21954673
3	21954686	3:21954686
3	21960383	3:21960383
3	22000838	3:22000838
3	22056397	3:22056397
3	22056432	3:22056432
3	22075735	3:22075735
3	22103110	3:22103110
3	22128576	3:22128576
3	22158061	3:22158061
3	22158074	3:22158074
3	22264648	3:22264648
3	22363024	3:22363024
3	22373715	3:22373715
3	22490959	3:22490959
3	22556502	3:22556502
3	22629452	3:22629452
3	22638189	3:22638189
3	22640427	3:22640427
3	22674931	3:22674931
3	22674939	3:22674939
3	22865790	3:22865790
3	22865800	3:22865800
3	22873349	3:22873349
3	22900058	3:22900058
3	22932651	3:22932651
3	23154697	3:23154697
3	23161017	3:23161017
3	23165341	3:23165341
3	23195579	3:23195579
3	23195594	3:23195594
3	23195624	3:23195624
3	23252208	3:23252208
3	23252232	3:23252232
3	23267347	3:23267347
3	23315710	3:23315710
3	23315711	3:23315711
3	23315749	3:23315749
3	23315751	3:23315751
3	23341931	3:23341931
3	23646157	3:23646157
3	23670664	3:23670664
3	23763081	3:23763081
3	23763153	3:23763153
3	23763171	3:23763171
3	24186779	3:24186779
3	24239974	3:24239974
3	24240527	3:24240527
3	24391671	3:24391671
3	24391690	3:24391690
3	24536655	3:24536655
3	24536683	3:24536683
3	24536813	3:24536813
3	24536821	3:24536821
3	24554462	3:24554462
3	24606167	3:24606167
3	24606168	3:24606168
3	24657472	3:24657472
3	24657514	3:24657514
3	24711646	3:24711646
3	24711649	3:24711649
3	25010289	3:25010289
3	25075201	3:25075201
3	25095178	3:25095178
3	25131192	3:25131192
3	25142145	3:25142145
3	25143017	3:25143017
3	25370284	3:25370284
3	25447017	3:25447017
3	25515507	3:25515507
3	25546943	3:25546943
3	25879553	3:25879553
3	25879575	3:25879575
3	25962614	3:25962614
3	25962627	3:25962627
3	25962629	3:25962629
3	25985242	3:25985242
3	25985250	3:25985250
3	25985259	3:25985259
3	26001546	3:26001546
3	26031113	3:26031113
3	26056920	3:26056920
3	26056924	3:26056924
3	26056955	3:26056955
3	26088515	3:26088515
3	26092075	3:26092075
3	26092121	3:26092121
3	26098252	3:26098252
3	26342772	3:26342772
3	26342774	3:26342774
3	26354019	3:26354019
3	26354043	3:26354043
3	26402071	3:26402071
3	26402075	3:26402075
3	26402104	3:26402104
3	26402209	3:26402209
3	26807776	3:26807776
3	26808680	3:26808680
3	26821639	3:26821639
3	26866036	3:26866036
3	26934479	3:26934479
3	27047349	3:27047349
3	27108541	3:27108541
3	27211217	3:27211217
3	27211263	3:27211263
3	27313457	3:27313457
3	27359688	3:27359688
3	27359703	3:27359703
3	27628605	3:27628605
3	27811730	3:27811730
3	27811734	3:27811734
3	27811769	3:27811769
3	27848178	3:27848178
3	27876437	3:27876437
3	27876456	3:27876456
3	28014976	3:28014976
3	28014989	3:28014989
3	28016823	3:28016823
3	28167131	3:28167131
3	28167133	3:28167133
3	28167147	3:28167147
3	28370652	3:28370652
3	28512086	3:28512086
3	28551851	3:28551851
3	28720060	3:28720060
3	28720095	3:28720095
3	28858650	3:28858650
3	28858669	3:28858669
3	28858689	3:28858689
3	28907711	3:28907711
3	29009949	3:29009949
3	29009984	3:29009984
3	29105689	3:29105689
3	29119853	3:29119853
3	29170978	3:29170978
3	29318241	3:29318241
3	29609593	3:29609593
3	29673225	3:29673225
3	29703890	3:29703890
3	29703914	3:29703914
3	29703920	3:29703920
3	29847788	3:29847788
3	29913346	3:29913346
3	29913380	3:29913380
3	30168035	3:30168035
3	30168057	3:30168057
3	30229449	3:30229449
3	30272883	3:30272883
3	30272895	3:30272895
3	30446514	3:30446514
3	30446517	3:30446517
3	30793391	3:30793391
3	32078065	3:32078065
3	32078071	3:32078071
3	32078075	3:32078075
3	32758302	3:32758302
3	32758303	3:32758303
3	33222291	3:33222291
3	33222306	3:33222306
3	33398367	3:33398367
3	33566149	3:33566149
3	33651161	3:33651161
3	33874938	3:33874938
3	33965668	3:33965668
3	34496800	3:34496800
3	34683510	3:34683510
3	34683553	3:34683553
3	34852451	3:34852451
3	34852485	3:34852485
3	35007979	3:35007979
3	35007985	3:35007985
3	35008001	3:35008001
3	35845006	3:35845006
3	36162006	3:36162006
3	36405294	3:36405294
3	36405341	3:36405341
3	36423662	3:36423662
3	36423682	3:36423682
3	36423703	3:36423703
3	36438404	3:36438404
3	36559729	3:36559729
3	36559745	3:36559745
3	36631845	3:36631845
3	36750443	3:36750443
3	36750465	3:36750465
3	37029628	3:37029628
3	37109120	3:37109120
3	37133110	3:37133110
3	37133113	3:37133113
3	37220449	3:37220449
3	37220472	3:37220472
3	37279622	3:37279622
3	37279802	3:37279802
3	37354554	3:37354554
3	37370192	3:37370192
3	37386283	3:37386283
3	37414585	3:37414585
3	37414591	3:37414591
3	37656108	3:37656108
3	37656113	3:37656113
3	37815705	3:37815705
3	37830812	3:37830812
3	37836089	3:37836089
3	37930164	3:37930164
3	37930167	3:37930167
3	37930214	3:37930214
3	37966125	3:37966125
3	38163676	3:38163676
3	38163702	3:38163702
3	38167862	3:38167862
3	38351070	3:38351070
3	38526744	3:38526744
3	38653560	3:38653560
3	38828724	3:38828724
3	38880093	3:38880093
3	38880108	3:38880108
3	38934020	3:38934020
3	38934056	3:38934056
3	38988194	3:38988194
3	39029485	3:39029485
3	39069931	3:39069931
3	39069962	3:39069962
3	39069964	3:39069964
3	39235059	3:39235059
3	39235094	3:39235094
3	39266475	3:39266475
3	39417277	3:39417277
3	39442752	3:39442752
3	39585208	3:39585208
3	39723404	3:39723404
3	39723447	3:39723447
3	39768073	3:39768073
3	39998255	3:39998255
3	40076391	3:40076391
3	40080559	3:40080559
3	40158014	3:40158014
3	40204033	3:40204033
3	40204048	3:40204048
3	40230942	3:40230942
3	40249224	3:40249224
3	40249604	3:40249604
3	40407793	3:40407793
3	40573790	3:40573790
3	40735822	3:40735822
3	40736239	3:40736239
3	40850444	3:40850444
3	40850447	3:40850447
3	40945830	3:40945830
3	40945854	3:40945854
3	41004519	3:41004519
3	41004526	3:41004526
3	41170022	3:41170022
3	41170054	3:41170054
3	41297689	3:41297689
3	41309416	3:41309416
3	41355627	3:41355627
3	41697182	3:41697182
3	41904890	3:41904890
3	41904904	3:41904904
3	42294008	3:42294008
3	42304781	3:42304781
3	42490560	3:42490560
3	42514905	3:42514905
3	42570122	3:42570122
3	42570137	3:42570137
3	42680104	3:42680104
3	43026195	3:43026195
3	43427286	3:43427286
3	43516117	3:43516117
3	43516123	3:43516123
3	43516130	3:43516130
3	43542681	3:43542681
3	43575051	3:43575051
3	43575061	3:43575061
3	43621705	3:43621705
3	43621766	3:43621766
3	43704743	3:43704743
3	43795600	3:43795600
3	43795602	3:43795602
3	43860993	3:43860993
3	44018879	3:44018879
3	44137960	3:44137960
3	44137968	3:44137968
3	44295876	3:44295876
3	44359476	3:44359476
3	44639234	3:44639234
3	44639262	3:44639262
3	44676084	3:44676084
3	44747468	3:44747468
3	44841324	3:44841324
3	44885075	3:44885075
3	45135571	3:45135571
3	45195732	3:45195732
3	45229010	3:45229010
3	45426456	3:45426456
3	45517978	3:45517978
3	45723757	3:45723757
3	46245594	3:46245594
3	46758740	3:46758740
3	46879253	3:46879253
3	48683600	3:48683600
3	49126214	3:49126214
3	49126270	3:49126270
3	49313119	3:49313119
3	49530861	3:49530861
3	49530863	3:49530863
3	49996634	3:49996634
3	49996661	3:49996661
3	50244835	3:50244835
3	51394479	3:51394479
3	52908096	3:52908096
3	53097440	3:53097440
3	53097982	3:53097982
3	53098062	3:53098062
3	54384848	3:54384848
3	54754315	3:54754315
3	55049147	3:55049147
3	55253995	3:55253995
3	55891296	3:55891296
3	56347102	3:56347102
3	57356122	3:57356122
3	57772913	3:57772913
3	58855832	3:58855832
3	59391314	3:59391314
3	59828798	3:59828798
3	60563853	3:60563853
3	60939241	3:60939241
3	60939247	3:60939247
3	61039085	3:61039085
3	61116939	3:61116939
3	61156793	3:61156793
3	61242323	3:61242323
3	61242333	3:61242333
3	61255908	3:61255908
3	61256017	3:61256017
3	61268899	3:61268899
3	61284123	3:61284123
3	61444026	3:61444026
3	61497655	3:61497655
3	61504627	3:61504627
3	61505064	3:61505064
3	61609924	3:61609924
3	61628062	3:61628062
3	61646799	3:61646799
3	61685649	3:61685649
3	61685676	3:61685676
3	61760324	3:61760324
3	61760376	3:61760376
3	62017208	3:62017208
3	62017212	3:62017212
3	62017237	3:62017237
3	62017245	3:62017245
3	62031438	3:62031438
3	62058005	3:62058005
3	62165022	3:62165022
3	62268063	3:62268063
3	62268246	3:62268246
3	62425549	3:62425549
3	62868418	3:62868418
3	63044979	3:63044979
3	63531320	3:63531320
3	63531342	3:63531342
3	63574465	3:63574465
3	63574499	3:63574499
3	63577519	3:63577519
3	63577537	3:63577537
3	63636868	3:63636868
3	63836221	3:63836221
3	63862573	3:63862573
3	63951914	3:63951914
3	64080361	3:64080361
3	64088182	3:64088182
3	64508781	3:64508781
3	64753663	3:64753663
3	64753680	3:64753680
3	64753711	3:64753711
3	64823567	3:64823567
3	64831835	3:64831835
3	65009733	3:65009733
3	65009768	3:65009768
3	65121518	3:65121518
3	65550560	3:65550560
3	65550567	3:65550567
3	66037958	3:66037958
3	66038002	3:66038002
3	66207216	3:66207216
3	66207218	3:66207218
3	66667550	3:66667550
3	66668763	3:66668763
3	66670427	3:66670427
3	66755554	3:66755554
3	66776449	3:66776449
3	66798961	3:66798961
3	66798991	3:66798991
3	66827657	3:66827657
3	66880763	3:66880763
3	66880776	3:66880776
3	67026899	3:67026899
3	67118212	3:67118212
3	67217282	3:67217282
3	67217311	3:67217311
3	67224864	3:67224864
3	67368151	3:67368151
3	67368184	3:67368184
3	67437209	3:67437209
3	67437249	3:67437249
3	67452670	3:67452670
3	67892042	3:67892042
3	67936122	3:67936122
3	67936150	3:67936150
3	68183822	3:68183822
3	68183839	3:68183839
3	68471376	3:68471376
3	68489409	3:68489409
3	68600241	3:68600241
3	68600256	3:68600256
3	68607553	3:68607553
3	68617300	3:68617300
3	68617307	3:68617307
3	68617325	3:68617325
3	68617345	3:68617345
3	68617351	3:68617351
3	68632376	3:68632376
3	68701263	3:68701263
3	68701286	3:68701286
3	68844752	3:68844752
3	68844784	3:68844784
3	68853422	3:68853422
3	68853432	3:68853432
3	69007935	3:69007935
3	69007941	3:69007941
3	69007971	3:69007971
3	69032528	3:69032528
3	69043633	3:69043633
3	69063181	3:69063181
3	69063202	3:69063202
3	69105556	3:69105556
3	69128790	3:69128790
3	69128798	3:69128798
3	69128805	3:69128805
3	69253066	3:69253066
3	69281028	3:69281028
3	69281065	3:69281065
3	69341468	3:69341468
3	69341478	3:69341478
3	69411044	3:69411044
3	69427677	3:69427677
3	69427682	3:69427682
3	69513680	3:69513680
3	69675633	3:69675633
3	69675669	3:69675669
3	69675671	3:69675671
3	69704859	3:69704859
3	69704861	3:69704861
3	69791255	3:69791255
3	69791304	3:69791304
3	69836533	3:69836533
3	69876616	3:69876616
3	69876643	3:69876643
3	69912988	3:69912988
3	69943741	3:69943741
3	70119638	3:70119638
3	70203550	3:70203550
3	70217534	3:70217534
3	70217570	3:70217570
3	70217578	3:70217578
3	70243438	3:70243438
3	70268940	3:70268940
3	70268955	3:70268955
3	70268991	3:70268991
3	70287678	3:70287678
3	70287690	3:70287690
3	70354265	3:70354265
3	70402339	3:70402339
3	70402355	3:70402355
3	70476636	3:70476636
3	70476669	3:70476669
3	70593714	3:70593714
3	70593732	3:70593732
3	70681884	3:70681884
3	70681886	3:70681886
3	70682076	3:70682076
3	70682085	3:70682085
3	70682102	3:70682102
3	70832102	3:70832102
3	70832115	3:70832115
3	70837864	3:70837864
3	70837908	3:70837908
3	70938789	3:70938789
3	70954260	3:70954260
3	71255030	3:71255030
3	71255032	3:71255032
3	71255046	3:71255046
3	71255057	3:71255057
3	71343388	3:71343388
3	71348434	3:71348434
3	71348475	3:71348475
3	71416223	3:71416223
3	71538047	3:71538047
3	71737801	3:71737801
3	71737821	3:71737821
3	71782379	3:71782379
3	71782418	3:71782418
3	71816124	3:71816124
3	71943440	3:71943440
3	72022113	3:72022113
3	72022133	3:72022133
3	72193412	3:72193412
3	72193415	3:72193415
3	72207699	3:72207699
3	72207743	3:72207743
3	72222701	3:72222701
3	72222723	3:72222723
3	72236071	3:72236071
3	72236074	3:72236074
3	72236076	3:72236076
3	72663975	3:72663975
3	72733901	3:72733901
3	72733960	3:72733960
3	72733976	3:72733976
3	72737808	3:72737808
3	72836070	3:72836070
3	73027180	3:73027180
3	73367246	3:73367246
3	73414537	3:73414537
3	73414540	3:73414540
3	73726600	3:73726600
3	74062442	3:74062442
3	74062463	3:74062463
3	74265500	3:74265500
3	74313189	3:74313189
3	74313196	3:74313196
3	74623987	3:74623987
3	74623989	3:74623989
3	74657807	3:74657807
3	74657842	3:74657842
3	74672810	3:74672810
3	74672821	3:74672821
3	74672858	3:74672858
3	74828515	3:74828515
3	74879614	3:74879614
